person_id,name,gender,party,assembly_id,sponsorship,cosponsorship
1950197,배기운,m,민주통합당,19,36,1484
194828,박인숙,f,새누리당,19,62,878
19521138,김성곤,m,민주통합당,19,31,835
19591139,홍종학,m,민주통합당,19,19,820
1960217,최민희,f,민주통합당,19,49,772
19501100,이만우,m,새누리당,19,24,770
19571154,이한성,m,새누리당,19,21,756
19601160,유성엽,m,무소속,19,31,753
19531121,김춘진,m,민주통합당,19,61,726
19611133,민홍철,m,민주통합당,19,16,713
19601146,윤관석,m,민주통합당,19,21,700
19621103,정성호,m,민주통합당,19,21,696
19531123,정희수,m,새누리당,19,80,693
19511102,김태원,m,새누리당,19,50,688
19521140,이낙연,m,민주통합당,19,60,679
19551144,김우남,m,민주통합당,19,72,661
1960216,전정희,f,민주통합당,19,25,629
1969132,박홍근,m,민주통합당,19,22,614
1953218,전순옥,f,민주통합당,19,22,612
19551133,이명수,m,자유선진당,19,96,599
19651105,김재윤,m,민주통합당,19,27,595
1964154,강기정,m,민주통합당,19,20,594
1972113,김세연,m,새누리당,19,26,556
1958172,전병헌,m,민주통합당,19,44,548
195027,이미경,f,민주통합당,19,10,542
19531120,강동원,m,통합진보당,19,26,534
194526,김을동,f,새누리당,19,19,527
19571150,박성호,m,새누리당,19,50,523
19591113,문병호,m,민주통합당,19,25,516
198113,김광진,m,민주통합당,19,38,515
19511112,김정록,m,새누리당,19,31,514
19621112,최동익,m,민주통합당,19,39,508
1964213,강은희,f,새누리당,19,28,505
196916,김관영,m,민주통합당,19,25,489
19571117,우원식,m,민주통합당,19,9,486
19571146,우윤근,m,민주통합당,19,20,485
19511115,백재현,m,민주통합당,19,31,484
19551151,김동철,m,민주통합당,19,40,484
1968212,배재정,f,민주통합당,19,15,483
195829,남인순,f,민주통합당,19,44,482
1963117,이춘석,m,민주통합당,19,24,476
19581107,박남춘,m,민주통합당,19,34,473
1956216,윤명희,f,새누리당,19,37,471
1954215,이에리사,f,새누리당,19,13,471
1964191,김성주,m,민주통합당,19,8,466
19591127,양승조,m,민주통합당,19,38,465
19631100,신장용,m,민주통합당,19,24,463
197729,장하나,f,민주통합당,19,20,459
1950183,유대운,m,민주통합당,19,6,458
1953215,인재근,f,민주통합당,19,15,452
19531104,신경민,m,민주통합당,19,12,451
1968141,홍지만,m,새누리당,19,9,451
19481136,유승우,m,새누리당,19,14,451
19631126,조정식,m,민주통합당,19,15,450
19571136,윤후덕,m,민주통합당,19,21,446
19541103,이노근,m,새누리당,19,40,446
1959211,손인춘,f,새누리당,19,15,446
19551138,김영록,m,민주통합당,19,18,446
19601167,강기윤,m,새누리당,19,59,438
195028,류지영,f,새누리당,19,27,430
196226,김현미,f,민주통합당,19,6,430
19521149,강창일,m,민주통합당,19,61,429
19521139,주승용,m,민주통합당,19,45,416
195928,권은희,f,새누리당,19,14,414
19511109,안홍준,m,새누리당,19,51,410
1950196,최규성,m,민주통합당,19,13,408
1963197,최원식,m,민주통합당,19,8,402
1966167,정문헌,m,새누리당,19,16,397
1966164,안민석,m,민주통합당,19,45,392
1966170,김윤덕,m,민주통합당,19,16,392
19581111,이상민,m,민주통합당,19,37,392
19421169,최봉홍,m,새누리당,19,25,390
1966177,박완주,m,민주통합당,19,30,388
1964187,박수현,m,민주통합당,19,9,387
1964194,박민수,m,민주통합당,19,15,386
196529,한정애,f,민주통합당,19,20,385
19651109,정청래,m,민주통합당,19,52,383
19491117,오제세,m,민주통합당,19,62,382
196229,유은혜,f,민주통합당,19,13,382
19601163,이윤석,m,민주통합당,19,12,377
19591117,이찬열,m,민주통합당,19,17,376
1961215,문정림,f,자유선진당,19,30,374
19631115,이상직,m,민주통합당,19,13,374
1961196,안규백,m,민주통합당,19,8,373
19551145,도종환,m,민주통합당,19,9,370
1967154,진성준,m,민주통합당,19,14,369
1964210,서영교,f,민주통합당,19,34,367
19491115,이현재,m,새누리당,19,22,366
1968137,서용교,m,새누리당,19,5,364
1966172,김승남,m,민주통합당,19,17,362
1957192,노웅래,m,민주통합당,19,25,362
19521123,장병완,m,민주통합당,19,22,362
1957139,김기준,m,민주통합당,19,17,358
19521151,김용익,m,민주통합당,19,13,354
19521132,이학영,m,민주통합당,19,15,351
1964170,이인영,m,민주통합당,19,12,349
19571101,이종걸,m,민주통합당,19,28,343
1965162,황영철,m,새누리당,19,20,343
1969210,민현주,f,새누리당,19,21,342
19541122,김성찬,m,새누리당,19,15,341
19541123,김한표,m,무소속,19,22,341
19461107,심재권,m,민주통합당,19,33,336
1964214,신의진,f,새누리당,19,24,334
196022,유승희,f,민주통합당,19,28,332
1954213,김상희,f,민주통합당,19,36,332
1965198,최재성,m,민주통합당,19,17,331
19621100,김경협,m,민주통합당,19,13,331
19601157,권성동,m,새누리당,19,19,331
19591136,조명철,m,새누리당,19,20,329
1965190,남경필,m,새누리당,19,17,328
1965191,김태년,m,민주통합당,19,6,328
1950187,이종진,m,새누리당,19,8,328
1966166,김민기,m,민주통합당,19,19,327
196328,은수미,f,민주통합당,19,15,327
19631105,이원욱,m,민주통합당,19,17,327
194428,한명숙,f,민주통합당,19,13,323
19461137,주영순,m,새누리당,19,17,323
19571151,정진후,m,통합진보당,19,30,313
19561133,김장실,m,새누리당,19,14,313
197614,문대성,m,새누리당,19,21,313
19561116,부좌현,m,민주통합당,19,6,311
19461109,서상기,m,새누리당,19,18,309
19471124,송영근,m,새누리당,19,28,305
19521135,한기호,m,새누리당,19,10,305
19581130,김동완,m,새누리당,19,12,303
197728,이자스민,f,새누리당,19,13,302
19631122,신성범,m,새누리당,19,12,301
1958194,유기홍,m,민주통합당,19,22,301
19621104,전해철,m,민주통합당,19,18,297
1958211,추미애,f,민주통합당,19,11,296
19571140,노영민,m,민주통합당,19,16,296
19571126,홍영표,m,민주통합당,19,19,295
1963169,윤호중,m,민주통합당,19,21,293
19491114,고희선,m,새누리당,19,12,292
1951184,원혜영,m,민주통합당,19,15,286
1959210,민병주,f,새누리당,19,20,284
19571147,이완영,m,새누리당,19,17,280
1950188,정갑윤,m,새누리당,19,6,278
19571103,이우현,m,새누리당,19,9,277
1968213,임수경,f,민주통합당,19,11,277
19551102,김영환,m,민주통합당,19,11,276
19521141,황주홍,m,민주통합당,19,17,274
19591126,이이재,m,새누리당,19,21,274
1970129,박원석,m,통합진보당,19,26,274
19481129,변재일,m,민주통합당,19,22,272
19521133,김기선,m,새누리당,19,26,272
1964196,김재원,m,새누리당,19,25,270
1966217,김현숙,f,새누리당,19,30,269
19551140,이철우,m,새누리당,19,19,268
19591141,유기준,m,새누리당,19,6,268
19591124,함진규,m,새누리당,19,31,265
1954216,신경림,f,새누리당,19,15,265
1963191,이헌승,m,새누리당,19,10,263
19511101,이석현,m,민주통합당,19,6,262
19531103,이목희,m,민주통합당,19,18,261
1958170,민병두,m,민주통합당,19,33,261
19491108,박주선,m,무소속,19,14,256
1951198,이용섭,m,민주통합당,19,19,255
19631112,김태흠,m,새누리당,19,14,255
1960211,박영선,f,민주통합당,19,39,253
1963211,김제남,f,통합진보당,19,25,252
1972218,이언주,f,민주통합당,19,46,251
1971140,정호준,m,민주통합당,19,25,249
194719,홍문표,m,새누리당,19,15,248
19481123,정의화,m,새누리당,19,7,245
19551146,홍의락,m,민주통합당,19,4,243
19571120,이진복,m,새누리당,19,14,243
19551127,이채익,m,새누리당,19,10,242
19481134,여상규,m,새누리당,19,6,242
1965210,김현,f,민주통합당,19,21,238
1956212,박혜자,f,민주통합당,19,16,237
1967156,오영식,m,민주통합당,19,14,236
19581100,김희국,m,새누리당,19,7,236
19521124,임내현,m,민주통합당,19,13,234
19611119,염동열,m,새누리당,19,8,233
1964179,김명연,m,새누리당,19,11,233
19591111,조원진,m,새누리당,19,14,230
1965187,이장우,m,새누리당,19,8,230
1958193,김성태,m,새누리당,19,18,229
19551112,강석호,m,새누리당,19,10,228
19561118,박기춘,m,민주통합당,19,25,225
19601149,이종훈,m,새누리당,19,4,224
1959214,심상정,f,통합진보당,19,23,224
19611104,윤재옥,m,새누리당,19,12,222
19601113,주호영,m,새누리당,19,9,222
19521121,신학용,m,민주통합당,19,18,222
19631128,박범계,m,민주통합당,19,11,222
195319,설훈,m,민주통합당,19,10,221
196723,진선미,f,민주통합당,19,16,220
19611131,박대출,m,새누리당,19,12,220
19591125,한선교,m,새누리당,19,29,220
19481137,유인태,m,민주통합당,19,1,219
19451101,조현룡,m,새누리당,19,13,215
19531115,이강후,m,새누리당,19,9,215
1950181,정세균,m,민주통합당,19,4,213
19511100,박대동,m,새누리당,19,13,213
1968139,조경태,m,민주통합당,19,27,212
19491129,박상은,m,새누리당,19,12,210
1973110,김상민,m,새누리당,19,9,210
1964174,김도읍,m,새누리당,19,13,206
1966174,김기식,m,민주통합당,19,11,206
19561106,유재중,m,새누리당,19,17,205
19611128,심학봉,m,새누리당,19,3,204
19461132,윤진식,m,새누리당,19,4,202
1967149,김영우,m,새누리당,19,11,202
19531108,나성린,m,새누리당,19,19,202
1968138,하태경,m,새누리당,19,14,200
19641105,이학재,m,새누리당,19,14,197
19501106,노철래,m,새누리당,19,10,196
19531117,정우택,m,새누리당,19,19,195
19421168,박지원,m,민주통합당,19,10,195
19591138,박창식,m,새누리당,19,8,194
1963196,김상훈,m,새누리당,19,12,192
19421165,송광호,m,새누리당,19,13,192
19581115,전하진,m,새누리당,19,7,192
1971214,김희정,f,새누리당,19,30,192
19551128,안효대,m,새누리당,19,33,190
19461135,정수성,m,새누리당,19,20,189
19531118,박덕흠,m,새누리당,19,6,188
19611132,김재경,m,새누리당,19,12,187
19581103,유승민,m,새누리당,19,8,186
1964183,김진태,m,새누리당,19,7,185
1963188,최재천,m,민주통합당,19,12,185
19461131,황진하,m,새누리당,19,9,184
19521128,이해찬,m,민주통합당,19,5,182
1965184,박민식,m,새누리당,19,16,182
19581127,경대수,m,새누리당,19,12,181
19471118,김진표,m,민주통합당,19,9,181
19491120,김종태,m,새누리당,19,5,180
19431139,김태환,m,새누리당,19,5,177
1967139,홍익표,m,민주통합당,19,7,174
19561109,홍일표,m,새누리당,19,6,172
1962194,윤상현,m,새누리당,19,14,168
19531106,신동우,m,새누리당,19,5,167
1964171,강석훈,m,새누리당,19,4,166
19621102,원유철,m,새누리당,19,9,166
19511108,이주영,m,새누리당,19,11,166
19641100,윤영석,m,새누리당,19,3,163
1966216,김미희,f,통합진보당,19,9,162
1962128,우상호,m,민주통합당,19,7,161
19461128,안덕수,m,새누리당,19,5,159
19501102,백군기,m,민주통합당,19,12,159
19511106,성완종,m,자유선진당,19,19,158
19581117,심재철,m,새누리당,19,28,158
1952173,신기남,m,민주통합당,19,4,157
1968136,김용태,m,새누리당,19,5,156
19551125,박성효,m,새누리당,19,9,153
19611135,이상일,m,새누리당,19,13,149
19551119,길정우,m,새누리당,19,15,148
19481130,이인제,m,자유선진당,19,3,146
1945113,문희상,m,민주통합당,19,3,144
19421164,강길부,m,새누리당,19,7,143
19571121,김정훈,m,새누리당,19,8,142
19591116,김기현,m,새누리당,19,12,140
19521154,박병석,m,민주통합당,19,15,135
1967147,송호창,m,민주통합당,19,7,134
19521109,이군현,m,새누리당,19,9,133
19521117,서병수,m,새누리당,19,11,131
19531101,김한길,m,민주통합당,19,2,131
1967151,김선동,m,통합진보당,19,6,131
19541102,신계륜,m,민주통합당,19,11,129
19631127,조해진,m,새누리당,19,15,129
19591137,안종범,m,새누리당,19,6,128
19541105,심윤조,m,새누리당,19,4,128
1956177,노회찬,m,통합진보당,19,16,128
19551153,홍문종,m,새누리당,19,4,127
19521114,김종훈,m,새누리당,19,5,126
19551120,김회선,m,새누리당,19,3,125
1950199,장윤석,m,새누리당,19,6,125
19571128,오병윤,m,통합진보당,19,6,123
1965183,이상규,m,통합진보당,19,12,123
19621110,김태호,m,새누리당,19,2,123
19531110,문재인,m,민주통합당,19,3,121
19551152,유일호,m,새누리당,19,7,120
19481132,김광림,m,새누리당,19,7,117
19541107,이재균,m,새누리당,19,5,117
1958179,정병국,m,새누리당,19,5,112
19611113,김학용,m,새누리당,19,20,109
1945180,이한구,m,새누리당,19,63,106
19521136,김근태,m,새누리당,19,4,104
19571137,유정복,m,새누리당,19,16,102
1950136,진영,m,새누리당,19,8,102
19551143,최경환,m,새누리당,19,12,99
1957191,정두언,m,새누리당,19,4,97
195129,현영희,f,새누리당,19,4,94
1951177,정몽준,m,새누리당,19,3,91
19521108,이병석,m,새누리당,19,5,82
1945194,이재오,m,새누리당,19,6,79
19471117,황우여,m,새누리당,19,4,78
19521142,김형태,m,새누리당,19,2,73
198023,김재연,f,통합진보당,19,6,68
1962125,이석기,m,통합진보당,19,3,62
1951151,김무성,m,새누리당,19,0,36
195224,박근혜,f,새누리당,19,1,31
1950133,이완구,m,새누리당,19,0,7
19461111,강창희,m,새누리당,19,1,4
1959212,윤금순,f,통합진보당,19,1,1
19561115,이재영,m,새누리당,19,0,0
197515,이재영,m,새누리당,19,0,0
19571122,유성걸,m,새누리당,19,0,0
19541125,김영주,m,자유선진당,19,0,0
195526,김영주,f,민주통합당,19,0,0
19621122,안철수,m,무소속,19,0,0
